run_name,target_family,noise_mode,aggregate_mean_theta,accuracy_reference,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
run_00207,eval_bpb_irt,variable,0.9083702427960145,0.34718992142718846,0.27555164902289964,2.176841098787136,-0.3055545626940626,1.8613393741977065,0.5008385243179447,0.9412053731444641
run_00125,eval_bpb_irt,variable,0.8608432019945181,0.35064915966731414,1.2144795016205896,1.0822741608107924,0.9040324783361838,1.8256092205812557,-0.4395067672486639,0.5781706178669516
run_00233,eval_bpb_irt,variable,0.7371176496723764,0.340461477229932,-1.2046739929931434,3.96243546472337,1.461170523216334,-1.1431274627488468,1.1994364914656657,0.1474648743708792
run_00223,eval_bpb_irt,variable,0.7365511254253762,0.35072817411525037,-0.5114352033162073,2.1224347334704183,1.6537366039869603,-0.7611211005479899,0.8657460442047784,1.0499456747542972
baseline_stratified,eval_bpb_irt,variable,0.732605816219678,0.3447386640303553,1.463560466590671,0.7808335552113156,0.42519224700719677,0.7929599035282038,0.32842978332357947,0.6046589416571007
run_00098,eval_bpb_irt,variable,0.7215147083427831,0.3460802512733845,1.5693129254710563,-0.33519427407029473,-0.4751063158130593,1.613974824764648,0.6300430388429361,1.3260580508614122
run_00191,eval_bpb_irt,variable,0.6685257431493209,0.3494731463118212,1.2857532108194625,0.06139544271035984,-0.13241485327637453,0.21806244901607866,2.252262603381762,0.3260956062446372
run_00138,eval_bpb_irt,variable,0.612573682061655,0.3450839096267813,0.4394851671948186,0.9966189424083893,-0.9467024841126358,1.0814337275379282,0.27697896693279067,1.827627772408639
run_00200,eval_bpb_irt,variable,0.6100981132016355,0.34761358563614103,-0.6026220326869491,0.578970144883562,2.552172473509256,0.11030095479276479,1.0548342812063474,-0.03306714249516772
run_00155,eval_bpb_irt,variable,0.5905245606763913,0.3401208953758259,0.18846275399417317,-0.33871144212730897,0.7667158762353101,1.4176619389333893,0.44396829482193984,1.0650499422008446
run_00021,eval_bpb_irt,variable,0.5891547627080342,0.34422758157577565,0.0313762587058974,-0.2618844120015774,0.7057145900387071,0.8322001630925846,0.7284079433176214,1.4991140330949724
run_00183,eval_bpb_irt,variable,0.5743533355132661,0.34753790313296573,0.19875182349829892,0.4530836037514308,-0.43049027387759975,1.01392546179452,0.7040935156826726,1.506755882230274
run_00159,eval_bpb_irt,variable,0.5715832594221523,0.3523332185641451,0.5064828129544077,1.907395036072577,0.7988580102860517,0.3208719927189522,0.7423818063596328,-0.8464901018587072
run_00239,eval_bpb_irt,variable,0.5255052320913792,0.34930312627926363,1.5300312779584255,0.08964958426109297,0.4181780517423138,0.39206912648355186,0.9005171521032223,-0.17741380000033097
run_00168,eval_bpb_irt,variable,0.5081091881016906,0.34411282206797367,0.9371263120984837,-0.15695188174064065,1.417254085357646,1.2148563507807402,-0.4236794993822417,0.06004976149615554
run_00102,eval_bpb_irt,variable,0.4947868257216926,0.3491575973280373,1.0004549640724836,0.6882488551551876,0.08569347449324452,0.15353008598137227,0.8663076311155966,0.17448594351227067
baseline_unimax,eval_bpb_irt,variable,0.4900146123073686,0.35202618943647057,2.745831873589253,2.5803272289200345,0.1740542417909546,-0.132830036952047,-1.1957650687940768,-1.2315305647099055
run_00081,eval_bpb_irt,variable,0.4623719459068711,0.33865830990553925,0.7974429190297093,1.5421472514365242,-0.12853031171748394,-0.8054462719150592,0.423620838906367,0.9449972497011692
run_00186,eval_bpb_irt,variable,0.45974863609663624,0.35050650330440825,0.4474958818896009,0.6657854837919165,-0.32472191624605584,1.1200345382447527,0.6359667999750156,0.21393102892458765
