source,group,repository,revision,sample_offset_or_method,row_id,task_grounding,substantive_progress,evidence_and_correction,ending_and_handoff,training_signal,total,severe_defects,source_median,source_grade
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4425,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4426,2,2,2,2,2,10,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4427,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4428,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4429,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4430,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4431,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4432,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4434,2,2,2,2,1,9,,9.0,A
penfever-traces/minimax-m27-131k/code-contests-noblock,Penfever MiniMax M27 131K,open-athena/code-contests-noblock-minimax-m27-131k-traces,375639a,4425,4435,2,2,1,1,2,8,,9.0,A
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,15,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,16,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,17,2,2,0,2,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,18,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,19,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,20,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,21,2,2,1,1,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,22,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,23,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rle_minimal_instructions-v3,Penfever MiniMax M27 131K,open-athena/exp_rle_minimal_instructions-v3-minimax-m27-131k-traces,289b0cc,15,24,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7985,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7986,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7987,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7988,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7989,2,2,0,1,2,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7990,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7991,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7992,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7993,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_codenet-python-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_codenet-python-v2-minimax-m27-131k-traces,8ce1c78,7985,7995,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,145,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,146,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,147,2,2,0,2,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,149,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,150,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,151,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,152,2,2,1,2,1,8,,8.0,B
