run_name,kind,block,wave,source,seed_block,effective_buckets,nonzero_buckets,max_epochs,max_epochs_bucket,cc_share,synth_qa_share,stack_share,tv_to_proportional
apriori_swarm_000_baseline_proportional,baseline_proportional,reserved,pilot,reused_panel,0,22.877358719942645,39,0.9053530000000024,dolma3_cc/history_and_geography_high,0.6438412885086966,0.07545387599021865,0.038353502424764985,1.0502124343780839e-15
apriori_swarm_001_baseline_unimax,baseline_unimax,reserved,full,reused_panel,0,30.049087097256255,39,1.2500006255381229,dolma3_cc/literature_high,0.7683745493627865,0.05222377393208012,0.05295382245658203,0.20372279975207067
apriori_swarm_002_baseline_uniform,baseline_uniform,reserved,full,reused_panel,0,39.00000000000008,39,44.2022801683445,dolma3_wikipedia,0.666666666666667,0.02564102564102565,0.0512820512820513,0.3903549798571089
apriori_swarm_003_proportional_repeat_1,proportional_repeat_1,reserved,pilot,new,1,22.877358719942645,39,0.9053530000000024,dolma3_cc/history_and_geography_high,0.6438412885086966,0.07545387599021865,0.038353502424764985,1.0502124343780839e-15
apriori_swarm_004_proportional_repeat_2,proportional_repeat_2,reserved,pilot,new,2,22.877358719942645,39,0.9053530000000024,dolma3_cc/history_and_geography_high,0.6438412885086966,0.07545387599021865,0.038353502424764985,1.0502124343780839e-15
apriori_swarm_005_proportional_repeat_3,proportional_repeat_3,reserved,pilot,new,3,22.877358719942645,39,0.9053530000000024,dolma3_cc/history_and_geography_high,0.6438412885086966,0.07545387599021865,0.038353502424764985,1.0502124343780839e-15
apriori_swarm_006_pctrl_del_dolma3_cc_art_and_design_high,pctrl_del_dolma3_cc_art_and_design_high,reserved,full,reused_panel,0,22.138662495650824,38,0.9203937993736714,dolma3_cc/health_high,0.6379243569640671,0.0767074053988964,0.038990676361614296,0.016341700024386136
apriori_swarm_007_pctrl_del_dolma3_cc_art_and_design_low,pctrl_del_dolma3_cc_art_and_design_low,reserved,full,reused_panel,0,22.441286893265527,38,0.911398222599781,dolma3_cc/health_high,0.6414631457380701,0.07595769657332493,0.03860959641201507,0.0066329102360277075
apriori_swarm_008_pctrl_del_dolma3_cc_crime_and_law_high,pctrl_del_dolma3_cc_crime_and_law_high,reserved,full,reused_panel,0,22.031222680152997,38,0.9257151821302124,dolma3_cc/health_high,0.6358309670643022,0.07715089976474983,0.03921610629497306,0.02199616309992301
apriori_swarm_009_pctrl_del_dolma3_cc_crime_and_law_low,pctrl_del_dolma3_cc_crime_and_law_low,reserved,full,reused_panel,0,22.317659103454734,38,0.9143878911645406,dolmino_synth_qa,0.6402870337642753,0.07620686135340214,0.03873624785134076,0.0098808079720224
apriori_swarm_010_pctrl_del_dolma3_cc_education_and_jobs_high,pctrl_del_dolma3_cc_education_and_jobs_high,reserved,full,reused_panel,0,21.894667729293154,38,0.9391279103779236,dolmino_common_crawl_hq,0.6305545058273174,0.07826874256627957,0.03978431019485668,0.03596412161185861
apriori_swarm_011_pctrl_del_dolma3_cc_education_and_jobs_low,pctrl_del_dolma3_cc_education_and_jobs_low,reserved,full,reused_panel,0,22.111064738707544,38,0.9215877496906608,dolma3_cc/entertainment_high,0.637454666350037,0.07680691153534992,0.03904125572278916,0.017616064987961488
apriori_swarm_012_pctrl_del_dolma3_cc_electronics_and_hardware_high,pctrl_del_dolma3_cc_electronics_and_hardware_high,reserved,full,reused_panel,0,22.083907156173783,38,0.922864999554895,dolmino_common_crawl_hq,0.6369522063527783,0.07691336001772582,0.03909536390574656,0.01897568936230138
apriori_swarm_013_pctrl_del_dolma3_cc_electronics_and_hardware_low,pctrl_del_dolma3_cc_electronics_and_hardware_low,reserved,full,reused_panel,0,22.3513036095462,38,0.9135007480643109,dolmino_synth_qa,0.6406360288451841,0.07613292512579777,0.03869866577556938,0.008919257134243857
apriori_swarm_014_pctrl_del_dolma3_cc_entertainment_high,pctrl_del_dolma3_cc_entertainment_high,reserved,full,reused_panel,0,21.948746271991215,38,0.9637617739647212,dolmino_synth_qa,0.6208637386744759,0.08032177656322684,0.04082787546366077,0.06060499133975628
apriori_swarm_015_pctrl_del_dolma3_cc_entertainment_low,pctrl_del_dolma3_cc_entertainment_low,reserved,full,reused_panel,0,22.030295167894646,38,0.9257707931313608,dolma3_cc/art_and_design_high,0.6358090901361716,0.07715553449350687,0.039218462145859195,0.022054911737167008
