cap_epochs,candidate_id,bucket,phase_0_weight,phase_0_count,phase_0_materialized_epochs,alias_id,canonical_candidate_id
4,shared_bounded_ensemble_kl0,dolma3_arxiv,0.02197265625,45,3.928314274229889,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/art_and_design_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/art_and_design_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/crime_and_law_high,0.00439453125,9,0.1443647513410104,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/crime_and_law_low,0.01416015625,29,1.0355501306244954,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/education_and_jobs_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/education_and_jobs_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/electronics_and_hardware_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/electronics_and_hardware_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/entertainment_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/entertainment_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/finance_and_business_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/finance_and_business_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/food_and_dining_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/food_and_dining_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/games_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/games_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/health_high,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
4,shared_bounded_ensemble_kl0,dolma3_cc/health_low,0.0,0,0.0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0
